tank,FLUCT,pred,COMP,Cer_ug,Dapp_ug,Sca_ug,Clad_ug,e_chl,i_chl,cop_ug
51,150,,CER,3.009117953,,,,101.52,5.88,
51,150,,CER,1.36658325,,,,131.26,0.005,
51,150,,CER,0.022447037,,,,66.04,5.28,
51,150,,CER,30.29588888,,,,67.09,6.09,
51,150,,CER,516.1580255,,,,2.08,3.98,
51,150,,CER,179.5389437,,,,29.56,3.34,
51,150,,CER,348.6000465,,,,6.87,0.1,
51,150,,CER,624.1631869,,,,2.1,0.42,
51,150,,CER,172.3031958,,,,2.59,0.07,
51,150,,CER,451.4384228,,,,3.92,0.01,
51,150,,CER,369.8719047,,,,24.01,0.005,
51,150,,CER,195.1251801,,,,41.92,3.17,
51,150,,CER,169.7383493,,,,49.39,5.73,
51,150,,CER,56.85898258,,,,59.71,16.82,
51,150,,CER,12.52371963,,,,95.72,0.66,
51,150,,CER,10.42565717,,,,100,3.04,
51,150,,CER,2.053168378,,,,46.15,6.32,
51,150,,CER,0.022447037,,,,27.22,30.54,
75,150,,CER,0.022447037,,,,14.75,3.38,
75,150,,CER,0.022447037,,,,67.7,8.83,
75,150,,CER,0.022447037,,,,30.58,5.32,
75,150,,CER,0.022447037,,,,32.19,4.75,
75,150,,CER,0.500421825,,,,64.88,10.46,
75,150,,CER,0.179576298,,,,76.07,6.91,
75,150,,CER,2.643378352,,,,74.38,18.67,
75,150,,CER,7.96185512,,,,74.38,18.67,
75,150,,CER,13.98667803,,,,51.83,13.76,
75,150,,CER,83.19274606,,,,47.53,1.68,
75,150,,CER,0.022447037,,,,2.64,0.36,
75,150,,CER,1943.621214,,,,1.6,0.34,
75,150,,CER,1256.227731,,,,2.56,1.01,
75,150,,CER,734.9791533,,,,3.76,7.04,
75,150,,CER,418.4296406,,,,7.93,0.3,
75,150,,CER,693.0442523,,,,18.95,15.62,
75,150,,CER,506.92545,,,,23.72,6.61,
75,150,,CER,382.3895496,,,,51.02,4.32,
75,150,,CER,904.5145204,,,,129.06,17.71,
75,150,,CER,99.33382746,,,,169.74,5.07,
75,150,,CER,323.7013568,,,,170.13,7.71,
75,150,,CER,93.97391095,,,,169.16,19.67,
75,150,,CER,132.5795513,,,,189.91,20.76,
75,150,,CER,39.02094327,,,,179.31,5.41,
75,150,,CER,64.64663344,,,,203.1,4.82,
75,150,,CER,17.88050346,,,,202.7,10.57,
16,150,,DAP,,1.991436134,,,94.77,0.005,
16,150,,DAP,,1,,,109.98,2.93,
16,150,,DAP,,9.214088944,,,136.38,14.64,
16,150,,DAP,,7.408425742,,,80.99,0.09,
16,150,,DAP,,465.2079806,,,2.88,0.02,
16,150,,DAP,,234.0405925,,,1.63,0.65,
16,150,,DAP,,823.6806509,,,1.07,0.31,
16,150,,DAP,,123.7139624,,,1.07,0.31,
16,150,,DAP,,1134.136423,,,1.82,0.4,
16,150,,DAP,,510.6690405,,,1.06,0.37,
16,150,,DAP,,206.0763611,,,0.94,0.07,
16,150,,DAP,,184.2001382,,,1.11,0.005,
16,150,,DAP,,27.4564939,,,1.23,0.17,
16,150,,DAP,,68.4519203,,,1.35,0.43,
16,150,,DAP,,92.66863366,,,1.63,0.44,
16,150,,DAP,,219.9051987,,,1.4,0.02,
16,150,,DAP,,261.048498,,,1.83,0.13,
16,150,,DAP,,145.0624411,,,1.72,0.13,
16,150,,DAP,,98.06313173,,,2.36,0.64,
16,150,,DAP,,62.55925259,,,2.7,0.36,
16,150,,DAP,,20.62787849,,,3.29,0.2,
16,150,,DAP,,139.2963972,,,5.13,0.85,
16,150,,DAP,,57.61794108,,,4.01,0.36,
16,150,,DAP,,93.33008469,,,3.63,0.6,
16,150,,DAP,,685.3522608,,,3.5,0.53,
16,150,,DAP,,168.5514712,,,3.24,0.44,
17,150,,DAP,,1,,,110.77,0.005,
17,150,,DAP,,2.362981998,,,106.82,6.15,
17,150,,DAP,,1,,,188.4,19.87,
17,150,,DAP,,202.7253653,,,37.66,0.07,
17,150,,DAP,,305.3749135,,,1.56,0.15,
17,150,,DAP,,713.6014278,,,1.6,1.21,
17,150,,DAP,,384.4950468,,,0.98,0.005,
17,150,,DAP,,478.2854011,,,0.98,0.005,
17,150,,DAP,,693.3746697,,,1.48,0.03,
17,150,,DAP,,908.0332433,,,1.53,0.14,
17,150,,DAP,,72.59807396,,,1.2,0.54,
17,150,,DAP,,112.3747305,,,1.21,0.29,
17,150,,DAP,,99.86879493,,,1.1,0.12,
17,150,,DAP,,275.7612173,,,0.84,0.04,
17,150,,DAP,,56.95649005,,,1.12,0.15,
17,150,,DAP,,204.6943099,,,1.15,0.15,
17,150,,DAP,,245.6743278,,,1.12,0.69,
17,150,,DAP,,87.60069838,,,1.16,0.25,
17,150,,DAP,,294.746714,,,1.34,0.24,
17,150,,DAP,,39.08563096,,,1.28,0.51,
17,150,,DAP,,66.67583168,,,1.05,0.2,
17,150,,DAP,,66.80953849,,,1.23,0.44,
17,150,,DAP,,191.7718453,,,1.3,0.07,
17,150,,DAP,,49.12445233,,,1.31,0.6,
17,150,,DAP,,13.38273414,,,1.5,0.5,
17,150,,DAP,,170.1263784,,,1.66,0.4,
67,150,,DAP,,2.177209066,,,103.31,8,
67,150,,DAP,,1,,,121.27,8.64,
67,150,,DAP,,16.72664692,,,120.13,25.55,
67,150,,DAP,,70.78532771,,,37.05,0.005,
67,150,,DAP,,1015.452496,,,1.99,0.23,
67,150,,DAP,,106.0513678,,,2.33,0.04,
67,150,,DAP,,637.0204816,,,1.88,0.25,
67,150,,DAP,,155.4432338,,,1.88,0.25,
67,150,,DAP,,103.5842536,,,1.96,0.005,
67,150,,DAP,,283.7944364,,,1.75,0.37,
67,150,,DAP,,388.5820513,,,1.62,6.43,
67,150,,DAP,,289.0848023,,,1.7,0.56,
67,150,,DAP,,395.5964397,,,1.99,0.11,
67,150,,DAP,,358.1011244,,,1.48,0.19,
67,150,,DAP,,250.504424,,,1.91,0.45,
67,150,,DAP,,312.0011051,,,1.7,0.07,
67,150,,DAP,,396.6519281,,,2.62,0.9,
67,150,,DAP,,373.6469015,,,3.01,0.95,
67,150,,DAP,,1174.173411,,,3.32,0.005,
67,150,,DAP,,666.2684726,,,2.36,3.18,
67,150,,DAP,,610.181698,,,2.35,0.48,
67,150,,DAP,,359.7364232,,,2.28,1.52,
67,150,,DAP,,786.2894679,,,2.43,1.02,
67,150,,DAP,,932.5552703,,,2.44,1.12,
67,150,,DAP,,311.094732,,,1.83,7.41,
67,150,,DAP,,121.8787246,,,2.39,0.86,
104,150,,DAP,,1,,,115.49,3.51,
104,150,,DAP,,1,,,148.84,0.005,
104,150,,DAP,,1,,,147.19,3.01,
104,150,,DAP,,1,,,105.7,0.005,
104,150,,DAP,,14.49737174,,,59.76,1.76,
104,150,,DAP,,45.29777841,,,70.17,39.03,
104,150,,DAP,,187.3878526,,,3.65,1.01,
104,150,,DAP,,373.4386371,,,3.65,1.01,
104,150,,DAP,,645.7743009,,,2.71,0.3,
104,150,,DAP,,937.9651769,,,3,0.08,
104,150,,DAP,,947.861966,,,30.67,1.09,
104,150,,DAP,,339.5688143,,,2.15,0.39,
104,150,,DAP,,140.3885432,,,2.5,0.06,
104,150,,DAP,,314.6610753,,,2.53,0.12,
104,150,,DAP,,565.5961943,,,2.12,0.39,
104,150,,DAP,,162.2422746,,,2.15,0.25,
104,150,,DAP,,446.0958602,,,2.55,0.5,
104,150,,DAP,,238.6007903,,,1.92,0.005,
104,150,,DAP,,640.6626249,,,2.11,0.66,
104,150,,DAP,,308.0998735,,,1.86,0.29,
104,150,,DAP,,85.57968766,,,1.97,0.3,
104,150,,DAP,,282.4940259,,,2.02,0.76,
104,150,,DAP,,117.8591947,,,4.04,2156.25,
104,150,,DAP,,69.85646306,,,17.45,467.06,
104,150,,DAP,,416.8657625,,,133.26,2469.39,
104,150,,DAP,,30.82289821,,,45.9,6442.13,
