TANK,Cer_ug,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
15,64.57123426,53.44609188,267.4464184,437.2000969,1.05,0.1
15,41.93490103,33.89881034,36.32152852,184.4814746,1.4,0.16
15,164.7658511,45.52604527,96.12376171,183.3425498,1.31,0.12
15,109.6858126,48.57797062,79.65744538,140.8325841,1.7,0.08
15,435.9851415,33.77239285,79.65744538,204.7428497,1.81,0.04
15,796.8255352,64.16522886,531.9204699,768.8020178,2.61,0.86
15,397.7208104,25.5879235,234.3055213,439.3260625,3.01,0.71
15,410.1559569,44.14519921,331.7521851,539.6506579,2.84,0.38
15,250.6134224,37.05134268,420.9798568,613.1313674,3.43,0.39
15,325.3750993,27.11388617,661.3933933,906.4305984,4.34,0.72
15,232.8544271,42.56893304,1093.846189,1363.771236,3.45,0.56
15,65.88096439,36.20645348,2078.074666,2296.946069,4.33,0.3
15,58.20701977,35.62019313,1080.307256,1187.583359,5.14,44.63
55,0.821267351,83.63349947,3.611326405,4.011344668,104.56,11.49
55,0.044894075,103.5348817,3.611326405,4.359111007,106.64,16.55
55,1.642534702,867.1492274,43.97285263,55.4515049,67.55,1.44
55,21.14702681,3165.014086,59.10227444,284.2960205,1.47,0.32
55,14.11477325,1.980011652,328.6307028,381.4877406,1.56,0.34
55,40.85744324,0.454048977,660.4420371,874.9260968,1.61,1.01
55,132.8393866,35.58858875,370.765311,571.1662948,1.18,0.11
55,104.7103723,62.02140146,135.9524844,188.0732026,1.18,0.11
55,126.1638557,123.2753452,310.5740708,378.1037505,1.77,0.21
55,0.022,0.0284,0.903,0.0339,2.02,0.37
55,0.022,0.0284,0.903,0.0339,1.41,0.08
55,689.0408777,69.3609816,92.61656754,230.9117302,1.67,0.08
55,871.4627619,79.75248709,442.2762693,578.8338761,2.11,0.09
55,852.8727796,79.75248709,262.9878681,381.2234533,1.5,0.09
55,450.9738781,48.57797062,31.86297815,92.82777382,2.68,0.19
55,1032.124706,73.64863639,300.79558,383.8268845,1.95,0.65
55,448.3973942,32.08261443,251.9314583,350.5963355,2.89,0.04
55,742.0041171,39.09456308,454.9987948,587.1422056,3.09,0.8
55,523.245405,59.87757406,892.1633882,953.6595882,4.17,0.88
55,148.1609278,35.36156427,1079.327568,1292.37534,4.41,0.46
55,65.70138809,29.32092231,1255.317039,1434.771821,4.75,0.58
55,16.42534702,34.71209517,524.207973,666.2103363,4.17,1.35
55,0.022,13.80911932,67.54554717,139.513472,3.59,0.55
55,0.9110555,18.29864685,310.1433758,391.7318135,3.62,6.95
55,1.822111,11.83556029,390.5439129,452.089985,5.49,9.12
55,1.642534702,10.84555447,654.9138322,799.4545326,4.38,18.02
64,0.022,0.324734547,0.903,0.0339,50.31,10.65
64,0.022,0.170268366,0.903,0.0339,38.91,9.86
64,0.022,0.0284,0.903,0.0339,98.66,11.7
64,0.022,1.25798425,0.903,0.0339,19.55,9.99
64,0.022,5.779116153,1.805663202,0.067779909,35.8,23.06
64,0.022,0.706225215,0.903,0.0339,24.24,2.85
64,0.044894075,0.97420364,0.903,0.271119635,41.32,0.92
64,0.022,5.195752746,0.903,0.271119635,41.32,0.92
64,6.570138809,100.5354981,0.903,0.0339,8.72,9.22
64,6.570138809,426.0517251,0.903,1.084478538,12.98,2.96
64,26.28055524,1566.496277,0.903,4.337914153,27.28,1.15
64,5.74644154,2363.009808,0.903,17.35165661,11.38,0.39
64,0.022,1130.20264,0.903,21.68957076,8.77,0.06
64,0.022,259.7902722,0.903,51.7838502,22.88,0.8
64,0.718305193,217.5663523,0.903,133.3908602,73.03,18.13
64,6.570138809,216.6582544,0.903,107.3633753,36.33,10
64,0.359152596,85.32749231,14.44530562,51.51273056,36.82,7.55
64,3.644222001,119.7693709,0.903,93.26515428,51.58,1.8
64,0.359152596,211.7954031,0.903,228.5123876,53.08,4.68
64,0.022,164.2092797,1010.906465,108.9900931,14.99,0.53
64,3.464645703,29.67436429,287.3016306,57.47736252,3.12,0.79
64,0.022,33.38155261,277.1066109,10.03142648,2.9,56.86
64,0.089788149,17.09452178,213.2765224,1.626717807,1.49,0.94
64,0.022,4.253153478,27.66475837,3.117875797,13.25,2159.42
64,0.821267351,8.701727073,55.25495908,5.015713239,18.47,1209.53
64,0.022,5.28411324,35.7937843,2.846756163,8.5,194.95
89,0.022,0.649469093,1.805663202,1.873443111,28.04,12.9
89,0.022,2.500166315,3.982872269,3.982872269,18.49,0.005
89,0.022,9.64432634,3.797099337,3.864879245,45.67,1.8
89,0.022,30.97330248,307.8407854,308.9252639,28.28,0.8
89,0.022,6.475991805,428.6190385,431.8724741,3.25,0.17
89,0.022,1.525962675,419.0038291,420.4949871,3.74,0.02
89,0.022,0.0284,0.903,0.0339,2.37,0.33
89,4.330807128,0.056756122,115.2654567,117.3666339,2.37,0.33
89,0.821267351,1.525962675,262.557173,263.9127712,3.73,0.27
89,0.821267351,0.0284,246.6565009,256.5523676,7.38,0.64
89,5.107180405,0.0284,105.5756897,151.3949079,3.39,0.02
89,1.36658325,0.113512244,14.09625129,20.87424216,21.68,3.04
89,8.36590179,0.0284,0.903,220.1491433,15.98,1.25
89,25.50955401,0.0284,0.903,167.0096949,27.98,0.38
89,49.06525691,0.908097954,0.903,131.2219031,17.63,1.71
89,108.8621154,0.0284,0.903,22.23181003,3.71,0.005
89,399.9284221,0.0284,0.903,0.542239269,2.55,0.68
89,36.66131833,0.649469093,7.22265281,8.036011713,3.27,0.12
89,339.209383,0.0284,0.903,10.30254611,2.32,0.39
89,434.7544554,1.298938186,0.903,4.609033787,2.59,0.32
89,538.4400659,0.0284,0.903,2.440076711,2.14,52.69
89,352.9126886,0.0284,7.22265281,19.96527563,50.67,5581.7
89,502.9962597,0.0284,0.903,12.74262282,5,82.83
89,67.26487874,1.980011652,0.903,1.626717807,37.67,3041.1
89,427.5138476,0.0284,14.44530562,18.78321977,75.66,1709.8
89,91.8106812,0.0284,0.903,3.253435615,9.06,534.89
94,0.022,22.52019596,0.903,0.153510263,103.78,4.67
94,0.022,111.5139227,0.903,0.221290172,114.99,24.34
94,0.089788149,454.4929949,10.83397921,11.00543992,51.92,8.35
94,1.642534702,1204.118873,30.58505916,51.24621824,1.06,0.15
94,14.12794726,144.9148331,9.080382129,22.99655673,0.89,0.01
94,49.87821009,116.2807782,69.03857166,105.3687292,1.01,0.19
94,43.96293635,70.97596351,108.7563211,115.4090339,0.79,0.23
94,17.57941895,66.18395624,32.0115965,43.41405676,0.79,0.23
94,34.00476597,38.5902106,236.7408042,242.7120316,1.17,0.1
94,0.022,0.0284,0.903,0.0339,1.43,0.16
94,0.022,0.0284,0.903,0.0339,1.07,0.11
94,0.022,0.0284,0.903,6.889883901,1.08,0.25
94,253.5632573,38.18646513,365.3545942,396.0320151,1.49,0.18
94,285.0730133,0.908097954,0.903,23.99441097,1.37,0.09
94,336.556666,53.57250937,187.5523764,217.8245772,1.89,0.33
94,821.966217,48.8308056,220.4283447,239.0319393,1.92,0.08
94,592.7491032,67.54478569,321.6021484,324.855584,2.12,0.58
94,191.0464063,33.15452813,485.8204506,487.6203421,5.04,1.82
94,77.35235928,12.82556612,783.6153316,794.3614363,3.88,1.1
94,11.58753106,29.88848353,885.5488779,965.7586084,2.76,1.02
94,15.23175307,34.97072403,940.3577335,1019.859223,3.25,1.09
94,2.553590202,41.51571847,443.1684764,586.751295,3.57,1.05
94,0.821267351,35.44347214,378.8035606,586.9466614,3.19,0.78
94,0.022,37.58729953,141.5481639,239.9881647,2.68,0.38
94,0.089788149,18.63918359,465.2529637,599.7546424,2.91,0.8
94,0.022,44.43543244,167.5480489,294.8180332,10.26,18.13
13,0.022,23.38088736,0.903,0.271119635,33.16,0.005
13,3.098906102,83.22817453,3.611326405,4.546922748,47.3,8.9
13,12.53567868,365.6634808,43.06850323,46.93595774,14.06,0.11
13,89.65090579,194.3390104,45.29777841,58.45073474,2.24,0.005
13,143.5834593,1.907453344,3.797099337,83.64733101,2.06,0.005
13,101.8161756,92.10951953,24.95980509,73.35101251,1.55,0.28
13,297.5740298,80.15043869,91.33864855,125.9945932,1.43,0.05
13,414.7458966,48.39545575,45.93673791,67.3290109,1.43,0.05
13,317.1048699,46.29613797,113.5414342,135.4341275,2.51,0.13
13,0.022,0.0284,0.903,0.0339,2.64,0.2
13,0.022,0.0284,0.903,0.0339,2.05,0.13
13,729.6875368,139.8828961,744.7379651,821.2081184,3.02,0.23
13,880.2932083,87.6725337,544.6429955,608.2855045,2.63,0.03
13,777.6226399,65.07332681,649.5088952,730.1392677,1.74,0.06
13,131.6828847,18.24834335,50.76683414,64.39103954,2.41,13.17
13,396.0040915,28.5766401,14.44530562,144.143663,1.74,0.04
13,27.17843673,13.44343084,0.903,20.76595008,1.96,0.08
13,238.3207601,13.89747982,0.903,88.38165508,22.38,4987.38
13,95.26701273,19.09323256,14.44530562,69.58224869,2.37,2.91
13,73.11671235,19.91297002,93.89448653,155.2166503,2.41,0.28
13,69.19410898,24.65177685,0.903,144.1153884,1.86,0.21
13,22.58242224,25.09292058,2.177209066,97.44737481,41.03,2280.54
13,18.7598389,12.0467826,0.903,95.03895381,5.56,4821.53
13,75.86963987,7.427940636,1.805663202,104.460242,49.49,5488.73
13,111.4535004,8.288632031,0.903,82.96894502,49.81,9949.64
13,91.16604802,7.727523433,3.611326405,90.40687128,6.81,281.98
14,0.022,33.12292375,1.991436134,0.0339,70.37,18.98
14,0.022,127.2678936,2.177209066,0.0339,10.8,3.24
14,0.022,490.4848052,80.60880157,0.406679452,5.75,1.93
14,1.000843649,357.2901787,96.59943981,1.49115799,2.38,0.005
14,8.930978704,61.19073498,12.4242949,2.711196345,1.66,0.005
14,36.44222001,132.6697335,69.67069012,2.168957076,1.78,0.71
14,157.4101316,378.7895504,360.062986,5.96463196,1.87,0.21
14,432.2785037,91.5577605,457.1381039,22.7740493,1.87,0.21
14,389.7397529,100.8893165,269.7469929,16.13807348,2.37,0.13
14,1057.288925,111.961519,468.7909749,11.38702465,3.56,0.37
14,466.4604161,102.351694,335.1577318,4.337914153,2,0.16
14,646.4306478,54.68182132,203.9003944,1.084478538,2.24,0.16
14,781.530342,30.5192535,171.2043584,4.337914153,2.42,0.05
14,708.4683746,20.45537949,320.115965,1.626717807,1.7,0.16
14,344.5634152,5.195752746,56.71156796,0.542239269,2.11,0.16
14,597.9685844,354.7818455,0.903,3.253435615,2.1,0.1
14,462.5721532,23.76013982,0.903,1.084478538,2.64,0.23
14,277.1716562,25.19708326,0.903,1.084478538,2.44,0.08
14,550.2442654,74.80956933,0.903,4.337914153,3.26,0.39
14,462.8522618,29.61115554,13.16738663,4.609033787,3.22,0.32
14,765.2533635,11.88006991,43.33591686,4.880153422,2.84,0.13
14,429.1515225,43.63505285,34.83534506,10.30254611,3.63,0.25
14,493.5216922,22.2715754,20.39003944,3.795674884,3.82,0.75
14,597.978304,53.77372336,108.9645856,4.880153422,3.52,0.21
14,749.187169,93.7763844,405.3016152,7.591349767,5.97,0.36
14,649.7059976,30.5192535,280.8220695,9.760306844,6.46,2.1
20,0.022,0.056756122,0.903,0.153510263,184.3,0.005
20,0.022,0.706225215,1.805663202,1.891393557,135.21,1.4
20,0.022,8.197374596,8.337290401,8.608410036,108.54,6.39
20,0.022,0.649469093,1.805663202,1.805663202,110.55,12.04
20,0.9110555,0.649469093,177.052043,180.034655,4.41,0.08
20,3.285069405,0.0284,84.27927714,89.59455913,1.11,0.27
20,0.022,0.0284,0.903,0.0339,9.97,0.79
20,10.03478451,2.597876373,15.93148908,59.48250924,9.97,0.79
20,12.81284509,0.0284,1.805663202,1.805663202,1.45,0.01
20,7.288444002,264.833797,1060.868573,1060.868573,10.44,0.91
20,44.4489692,3.05192535,0.903,10.28764256,6.05,2.16
20,212.2197812,0.0284,0.903,71.94169613,5.59,0.005
20,708.0329889,0.0284,0.903,28.16663489,4.22,0.33
20,325.2648474,0.0284,0.903,49.31633428,2.58,0.61
20,399.9353307,0.0284,0.903,23.47716359,2.23,0.25
20,924.1292644,0.0284,0.903,38.1348953,2.05,0.15
20,204.8952695,0.0284,7.22265281,44.06629995,2.41,0.23
20,748.5312796,0.0284,0.903,40.71739164,2.34,0.08
20,357.6607165,0.908097954,0.903,54.06541979,2.1,0.36
20,65.28953946,0.0284,0.903,22.63967343,2.57,0.17
20,228.6451282,1.298938186,0.903,115.2419322,2.15,0.18
20,144.2580854,0.0284,0.903,81.60701,2.62,13.77
20,180.7793495,0.0284,0.903,41.22627195,2.4,0.33
20,195.6148578,1.298938186,0.903,131.5091103,29.56,1317.16
20,521.423294,0.0284,0.903,72.88410314,29.77,9969.68
20,76.67894817,0.649469093,1.805663202,23.77253441,3.79,2.4
24,1.231901027,7.371184514,1.805663202,1.94122302,67.65,3.4
24,0.9110555,29.10035045,0.903,0.871232117,31.43,0.005
24,3.509539777,166.9571459,0.903,2.18002948,34.57,3.98
24,21.865332,899.3661642,7.965744538,27.95680568,3.19,0.005
24,45.96340869,2.273141826,9.214088944,38.20797387,1.51,0.01
24,149.1198195,8.783634944,450.2470408,1051.004629,1.24,0.17
24,232.6065508,25.58212961,37.33203387,135.7913583,1.46,0.005
24,478.0996188,45.09780678,84.4793403,209.4604854,1.46,0.005
24,333.2452486,19.93812177,79.44918091,153.5895048,2.95,0.11
24,622.0727358,24.28898531,266.7033267,551.8583804,3.91,0.67
24,0.022,0.0284,0.903,0.0339,2.36,0.08
24,1085.404122,68.45288365,63.7259563,243.8734227,2.45,0.38
24,952.248559,56.49801723,0.903,125.9209911,3.26,0.22
24,787.7843046,48.57797062,237.0696237,438.5860753,1.91,0.08
24,481.5642645,51.95752746,28.89061124,93.24792481,1.86,0.1
24,411.1724045,66.59928948,60.01049766,83.7283445,1.33,0.18
24,153.701445,15.65046698,0.903,18.6684511,1.51,0.02
24,385.6316426,47.66987266,0.903,7.818874048,1.8,0.04
24,378.8077433,61.94660495,0.903,90.96980319,2.26,0.23
24,126.8528707,44.50443507,0.903,86.29729191,2.42,0.2
24,81.18274459,25.02036227,2.177209066,86.03453249,266.29,9733.16
24,110.6903011,27.5427834,0.903,86.94366554,242.4,9757.05
24,24.4123352,6.608203176,0.903,32.14773367,3.37,3516.87
24,54.67771898,21.63435281,0.903,35.04410055,4.54,9994.91
24,195.8249393,17.41280371,0.903,120.0813827,31.27,8812.15
24,184.1661661,14.41763448,2.177209066,57.41879638,3.59,5.09
72,1.642534702,12.56693726,3.611326405,3.936297377,93.72,0.005
72,5.472920006,83.18656185,23.47362163,28.33107963,18.26,0.005
72,17.69555512,296.6733228,94.84584272,105.3277298,8.03,1.4
72,71.62740593,489.2704099,142.9661427,264.3973052,4.36,0.12
72,410.1545514,27.56793515,959.5926049,1001.729467,2.24,0.17
72,313.3074197,16.04130721,674.6659962,787.1799189,2.87,0.06
72,168.2041488,29.73757303,654.4973032,733.8067383,9.88,151.31
72,45.88557959,49.51187906,379.9523729,510.2109819,9.88,151.31
72,228.1542355,24.5160098,542.4420525,590.1433372,24.89,273.04
72,0.022,0.0284,0.903,0.0339,4.88,0.26
72,0.022,0.0284,0.903,0.0339,14,106.99
72,186.4779548,7.793629118,47.79446723,183.9549387,5.3,19.46
72,496.3519366,84.94823984,0.903,155.8698563,11.51,62.46
72,876.4714589,22.59920689,57.78122248,141.86522,10.28,55.05
72,333.8318137,38.18646513,31.86297815,92.6926692,6.19,1.13
72,548.1947419,7.793629118,15.93148908,100.7633115,11.3,114.45
72,557.005749,0.908097954,86.67183372,114.5512615,5.87,0.42
72,670.8530244,17.40345415,43.7524458,69.46291647,14.71,421.07
72,1229.22887,6.1038507,606.702836,654.841694,7.49,0.7
72,470.7633386,15.53695474,135.1052604,157.5566649,5.38,0.26
72,486.4762647,12.45342502,263.4635462,293.9476206,4.5,0.18
72,797.2373839,26.26899696,456.9298394,516.7385745,5.06,0.17
72,703.5865578,22.66241564,695.9021755,773.5034847,5.24,0.66
72,398.2595393,13.62015183,300.2607528,409.4315251,4.37,0.71
72,595.3110076,14.80557777,1098.557987,1197.350628,7.43,0.83
72,270.8864858,21.26866433,1470.732871,1551.160012,7.55,0.72
98,0.022,17.91715619,0.903,0.467798171,91.52,2.09
98,0.022,105.8302784,1.805663202,4.074279655,113.49,15.2
98,4.196124905,571.5683588,41.68645201,42.70353998,15.34,0.005
98,19.71041643,975.1507231,139.3707063,170.5952439,0.86,0.14
98,7.236962922,25.5879235,98.43467759,105.0226392,0.99,0.005
98,31.55413793,12.08773653,22.59682309,42.3579595,1.02,0.32
98,71.5639658,22.3721824,63.2502782,78.11851467,0.9,0.15
98,240.3307616,164.6904566,152.049105,201.2151637,0.9,0.15
98,330.5252561,35.71500624,65.74696702,106.3870543,2.16,0.16
98,0.022,0.0284,0.903,0.0339,2.07,0.11
98,0.022,0.0284,0.903,0.0339,1.67,0.12
98,385.0187295,30.39283601,57.78122248,157.2361036,1.61,0.19
98,483.9299642,11.29960345,92.61656754,221.3466623,2.1,0.11
98,756.475613,28.70305759,121.5071788,431.5668477,2.21,0.11
98,1059.420303,28.70305759,86.67183372,522.7197645,3,0.23
98,770.0304646,24.4937829,31.965267,216.410066,2.56,0.07
98,721.5753955,46.76177471,28.89061124,50.49263636,3.14,0.25
98,1411.650755,95.33974533,115.562445,247.2759492,8.83,0.1
98,452.9180095,82.02273198,30.37679469,48.61150015,5.46,0.3
98,458.8298289,33.29964474,44.07900859,274.8351922,4.12,0.1
98,295.0121254,108.8089867,36.11326405,89.80738661,7.76,1321.76
98,191.5839203,59.65989914,16.99406055,82.02611298,8.06,5782.59
98,155.7187362,97.73574896,28.06587881,96.87636372,5.46,672.34
98,36.57811719,54.14586447,17.92292521,44.85709245,16.7,5325.69
98,42.30722763,44.03813959,16.35510106,109.6000578,27.28,4383.09
98,38.7725548,14.92843958,16.86035373,89.9266016,25.28,459.37
