TANK,FLUCT,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
29,150,0.028378061,0.903,0.0339,19.06,1.74
29,150,0.028378061,0.903,0.0339,28.88,1.86
29,150,0.028378061,0.903,0.0339,48.11,0.55
29,150,0.028378061,0.903,0.0339,66.72,4.66
29,150,0.028378061,0.903,0.0339,56.08,1.04
29,150,0.028378061,3.611326405,0.067779909,58.46,2.56
42,150,20.51503256,0.903,0.0339,113.78,5.49
42,150,245.6192821,0.903,0.135559817,113.59,10.34
42,150,1098.88907,0.903,0.0339,44.1,3.34
42,150,1125.967145,0.903,0.0339,3.22,0.005
42,150,197.1496886,0.903,0.0339,1.39,0.1
42,150,414.5535427,7.22265281,0.271119635,3.72,0.43
42,150,373.7699947,3.611326405,0.0339,1.72,0.27
42,150,659.899584,0.903,0.542239269,1.72,0.27
42,150,901.8297182,28.89061124,0.0339,2.21,0.005
42,150,825.6063809,62.23977284,1.626717807,2.94,0.99
42,150,763.1878214,261.6816169,1.084478538,1.48,0.11
42,150,342.0400287,197.1226027,0.0339,1.7,0.59
42,150,349.1267739,495.5989414,3.795674884,2.4,0.4
42,150,227.1519819,544.5650928,0.0339,2.02,0.08
42,150,81.32941201,239.9378584,1.897837442,2.12,0.19
42,150,70.20587081,293.0381,4.609033787,1.5,0.005
42,150,166.6575631,84.650823,1.084478538,1.43,0.09
42,150,23.0316598,57.90784625,9.760306844,2.13,0.06
42,150,20.00133052,90.80382129,2.98231598,1.3,0.16
42,150,15.65981655,18.66601694,2.575636528,1.47,0.18
42,150,3.108681472,4.540191065,1.355598173,1.5,0.27
42,150,9.165125613,17.2318996,6.100191777,5.43,4180.27
42,150,18.79364977,43.62582202,14.03044109,7.54,59.01
42,150,12.52598332,26.1265088,13.01374246,4.2,1221.7
42,150,11.75365242,269.8248089,11.11590502,14.96,9984.49
42,150,6.542097491,94.47429686,3.524555249,5.65,8014.52
81,150,38.27772256,0.903,0.0339,16.53,2.61
81,150,121.5800349,0.903,2.971277566,41.94,1.86
81,150,248.1089162,0.903,3.445736926,68.31,0.005
81,150,249.2997392,0.903,2.257900936,67.9,3.21
81,150,31.79593688,1.991436134,1.113980905,97.04,3.42
81,150,9.114822114,0.903,2.614589251,129.73,3.72
81,150,25.51246825,0.903,0.0339,129.17,4.39
81,150,31.62277157,1.805663202,0.353650727,129.17,4.39
81,150,82.32007657,0.903,2.829205812,64.24,1
81,150,65.10782812,0.903,5.305197657,74.87,15.9
81,150,29.57955117,0.903,3.819777254,30.97,0.14
81,150,76.92310983,0.903,7.07301453,36.49,2.72
81,150,133.8448891,0.903,9.843215609,32.7,5.36
81,150,65.1997443,31.11988642,15.17150287,38.75,9.56
81,150,153.9584144,204.55352,17.52096822,33.12,2.78
81,150,73.95309235,176.25937,29.37653666,2.31,0.03
81,150,3.896814559,175.4546443,42.37908245,2.87,0.43
81,150,13.34282384,444.0606834,24.31936904,5.31,0.27
81,150,42.60053741,539.2947229,46.35177153,5.83,0.09
81,150,45.77888025,276.3635192,25.46285231,4.28,0.47
81,150,61.78278921,160.3845453,16.97523487,3.67,0.26
81,150,51.14200442,99.92086105,17.80334496,3.15,0.59
81,150,41.12198129,105.5756897,11.73825388,2.75,0.21
81,150,20.67595136,24.74445757,5.207478623,2.6,0.31
81,150,9.001309869,58.48765658,5.086669989,7.83,246.99
81,150,8.263480282,69.88603764,11.59401806,2.36,0.44
34,161.0127787,57.49381693,17.36560641,0.0339,84.87,3.62
34,119.9494001,317.0989393,189.6100447,1.423378081,41.94,7.29
34,206.9790244,511.4369019,113.3781528,0.271119635,3.3,1.58
34,152.9372674,9.137076923,721.6879555,3.388995432,2.04,0.005
34,114.1539759,9.5911259,101.2212716,4.202354335,22.43,2.41
34,202.5345809,51.26486623,451.5199328,1.897837442,8.4,5.17
34,149.747694,118.3182047,654.2040422,3.795674884,1.14,0.01
34,111.8649653,130.8535376,344.221463,14.64046027,1.14,0.01
34,200.7791652,49.67569481,324.0396881,5.775003952,1.78,0.01
34,148.4879127,48.14973213,597.1042775,8.675828306,1.57,0.07
34,110.960878,36.39607971,285.370586,5.151273056,1.19,0.17
34,188.2403208,52.7908289,87.08836265,2.874179598,1.56,0.15
34,147.9903386,57.17909069,377.1540957,1.437089799,1.62,0.07
34,110.6037919,29.61115554,719.4728464,2.168957076,1.67,0.44
34,187.9840565,38.31288262,388.6270344,3.118654476,8.12,1.18
34,147.7938125,86.36200775,1478.306192,2.168957076,5.52,0.79
34,110.4627541,52.08394495,1198.070644,2.711196345,4.5,0.53
34,187.8828401,14.12450431,471.9999384,2.168957076,4.68,2.21
34,147.7161908,47.92270764,398.0506302,1.084478538,4,0.62
34,110.4070486,49.48606857,506.1821579,10.30254611,3.58,0.02
34,187.8428628,57.75955716,332.3319954,7.862469402,3.2,0.22
34,147.6855327,52.21036244,381.2860833,8.133589036,2.54,0.53
34,110.3850467,56.62443472,220.0684801,3.253435615,2.5,0.3
34,199.6442328,72.31229995,212.6375629,5.422392691,2.09,0.15
34,166.4200324,9.855548642,115.1317499,8.133589036,2.16,96.39
34,131.2566128,18.97037076,43.72995426,10.1669863,25.28,5967.35
45,113.2617177,66.46997505,34.27802627,0.0339,104.73,1.33
45,176.9403713,169.1973658,41.31490614,0.0339,77.15,21.4
45,139.3245385,1497.049451,175.0997493,0.0339,3.05,0.85
45,104.3847445,335.7265352,66.59419098,0.0339,1.96,0.005
45,170.5697745,53.25646564,1251.421648,1.084478538,1.73,0.51
45,134.4390019,61.77567784,565.8044588,1.084478538,2.64,0.92
45,100.8786188,0.028378061,0.903,0.0339,1.63,0.5
45,168.0535889,0.028378061,0.903,0.0339,1.63,0.5
45,132.5093683,171.2728493,97.37334852,1.355598173,2,0.32
45,99.4938092,415.9646756,456.9015072,50.97049129,2.59,0.43
45,167.0597745,257.5690134,783.8519282,17.35165661,1.52,0.22
45,131.7472236,42.31030418,423.0458505,5.422392691,1.72,0.17
45,98.94685291,119.7551481,559.3248977,2.168957076,2.16,0.47
45,166.6672491,83.38487891,244.2922765,5.151273056,1.42,0.36
45,131.4462004,53.64151199,169.5690596,1.220038355,1.63,0.17
45,98.73082234,95.46616282,523.8364271,1.355598173,1.45,0.13
45,166.5122138,41.46541497,316.4005063,0.813358904,1.66,0.39
45,131.3273057,39.15777183,264.5640177,0.813358904,1.61,0.85
45,98.64549705,85.85633779,1765.479585,0.0339,2.11,0.61
45,166.4509798,68.1381574,549.122795,0.881138812,1.93,0.61
45,131.280346,64.2284376,743.0127002,0.271119635,1.78,0.68
45,98.61179624,44.33772239,166.7824657,0.338899543,2.53,0.92
45,166.4267943,69.06205755,217.2593946,0.610019178,2.09,0.51
45,131.2617984,70.53705798,215.4241568,0.47445936,2.04,0.6
45,98.59848548,65.81760902,1088.348801,0.677799086,3.5,3.55
45,166.4172417,49.00041522,908.5397384,0.271119635,2.68,0.9
69,113.2617177,19.54082892,0.903,0.0339,14.36,0.49
69,176.9403713,191.2844501,8.017810655,0.0339,27.59,1.56
69,139.3245385,648.0000214,179.2884013,1.084478538,11.18,0.005
69,104.3847445,628.9715847,369.0700528,0.0339,1.68,0.01
69,170.5697745,371.0991632,324.1579864,1.084478538,1.59,0.005
69,134.4390019,417.654454,30.37679469,1.084478538,1.9,0.1
69,100.8786188,316.1360615,490.0707365,2.711196345,1.9,0.06
69,168.0535889,136.6297568,62.23977284,0.0339,1.9,0.06
69,132.5093683,89.93119082,103.3464145,0.0339,2.4,0.17
69,99.4938092,146.6936308,547.851959,7.049110498,2.91,0.43
69,167.0597745,106.2369208,495.7788737,4.337914153,1.69,0.05
69,131.7472236,45.07199629,286.7668034,1.084478538,1.77,0.03
69,98.94685291,56.17038574,631.3148292,1.626717807,2.32,0.23
69,166.6672491,33.00361763,192.5363724,0.0339,1.94,0.41
69,131.4462004,3.701394443,360.2712504,0.0339,1.87,0.13
69,98.73082234,22.43539115,300.0524883,5.422392691,1.67,0.1
69,166.5122138,13.2796151,119.902697,2.168957076,8.83,4.04
69,131.3273057,9.15577605,164.3982345,5.96463196,2.55,0.16
69,98.64549705,40.6837345,321.4838501,7.320230133,2.42,0.02
69,166.4509798,25.03037058,98.42759455,8.404708671,2.12,1.3
69,131.280346,10.22768975,135.8933352,9.218067575,4.17,32.85
69,98.61179624,7.134810462,19.08962892,2.914536071,5.52,1269.31
69,166.4267943,1.980011652,23.44404705,3.99901461,4.28,727.88
69,131.2617984,3.603684385,21.4005448,1.96561735,7.43,66.61
69,98.59848548,8.31088684,320.3242294,6.777990864,50.11,2245.08
69,166.4172417,10.9245654,81.91629514,7.523569859,16.23,90.71
