TANK,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
42,11.75365242,269.8248089,11.11590502,14.96,9984.49
42,6.542097491,94.47429686,3.524555249,5.65,8014.52
81,249.2997392,0.903,2.257900936,67.9,3.21
81,31.79593688,1.991436134,1.113980905,97.04,3.42
81,9.114822114,0.903,2.614589251,129.73,3.72
81,25.51246825,0.903,0.0339,129.17,4.39
81,31.62277157,1.805663202,0.353650727,129.17,4.39
81,82.32007657,0.903,2.829205812,64.24,1
81,65.10782812,0.903,5.305197657,74.87,15.9
81,29.57955117,0.903,3.819777254,30.97,0.14
81,76.92310983,0.903,7.07301453,36.49,2.72
81,133.8448891,0.903,9.843215609,32.7,5.36
81,65.1997443,31.11988642,15.17150287,38.75,9.56
81,153.9584144,204.55352,17.52096822,33.12,2.78
81,73.95309235,176.25937,29.37653666,2.31,0.03
81,3.896814559,175.4546443,42.37908245,2.87,0.43
81,13.34282384,444.0606834,24.31936904,5.31,0.27
81,42.60053741,539.2947229,46.35177153,5.83,0.09
81,45.77888025,276.3635192,25.46285231,4.28,0.47
81,61.78278921,160.3845453,16.97523487,3.67,0.26
81,51.14200442,99.92086105,17.80334496,3.15,0.59
81,41.12198129,105.5756897,11.73825388,2.75,0.21
81,20.67595136,24.74445757,5.207478623,2.6,0.31
81,9.001309869,58.48765658,5.086669989,7.83,246.99
81,8.263480282,69.88603764,11.59401806,2.36,0.44
34,9.137076923,721.6879555,3.388995432,2.04,0.005
34,9.5911259,101.2212716,4.202354335,22.43,2.41
34,51.26486623,451.5199328,1.897837442,8.4,5.17
34,118.3182047,654.2040422,3.795674884,1.14,0.01
34,130.8535376,344.221463,14.64046027,1.14,0.01
34,49.67569481,324.0396881,5.775003952,1.78,0.01
34,48.14973213,597.1042775,8.675828306,1.57,0.07
34,36.39607971,285.370586,5.151273056,1.19,0.17
34,52.7908289,87.08836265,2.874179598,1.56,0.15
34,57.17909069,377.1540957,1.437089799,1.62,0.07
34,29.61115554,719.4728464,2.168957076,1.67,0.44
34,38.31288262,388.6270344,3.118654476,8.12,1.18
34,86.36200775,1478.306192,2.168957076,5.52,0.79
34,52.08394495,1198.070644,2.711196345,4.5,0.53
34,14.12450431,471.9999384,2.168957076,4.68,2.21
34,47.92270764,398.0506302,1.084478538,4,0.62
34,49.48606857,506.1821579,10.30254611,3.58,0.02
34,57.75955716,332.3319954,7.862469402,3.2,0.22
34,52.21036244,381.2860833,8.133589036,2.54,0.53
34,56.62443472,220.0684801,3.253435615,2.5,0.3
34,72.31229995,212.6375629,5.422392691,2.09,0.15
34,9.855548642,115.1317499,8.133589036,2.16,96.39
34,18.97037076,43.72995426,10.1669863,25.28,5967.35
45,335.7265352,66.59419098,0.0339,1.96,0.005
45,53.25646564,1251.421648,1.084478538,1.73,0.51
45,61.77567784,565.8044588,1.084478538,2.64,0.92
45,0.028378061,0.903,0.0339,1.63,0.5
45,0.028378061,0.903,0.0339,1.63,0.5
45,171.2728493,97.37334852,1.355598173,2,0.32
45,415.9646756,456.9015072,50.97049129,2.59,0.43
45,257.5690134,783.8519282,17.35165661,1.52,0.22
45,42.31030418,423.0458505,5.422392691,1.72,0.17
45,119.7551481,559.3248977,2.168957076,2.16,0.47
45,83.38487891,244.2922765,5.151273056,1.42,0.36
45,53.64151199,169.5690596,1.220038355,1.63,0.17
45,95.46616282,523.8364271,1.355598173,1.45,0.13
45,41.46541497,316.4005063,0.813358904,1.66,0.39
45,39.15777183,264.5640177,0.813358904,1.61,0.85
45,85.85633779,1765.479585,0.0339,2.11,0.61
45,68.1381574,549.122795,0.881138812,1.93,0.61
45,64.2284376,743.0127002,0.271119635,1.78,0.68
45,44.33772239,166.7824657,0.338899543,2.53,0.92
45,69.06205755,217.2593946,0.610019178,2.09,0.51
45,70.53705798,215.4241568,0.47445936,2.04,0.6
45,65.81760902,1088.348801,0.677799086,3.5,3.55
45,49.00041522,908.5397384,0.271119635,2.68,0.9
69,628.9715847,369.0700528,0.0339,1.68,0.01
69,371.0991632,324.1579864,1.084478538,1.59,0.005
69,417.654454,30.37679469,1.084478538,1.9,0.1
69,316.1360615,490.0707365,2.711196345,1.9,0.06
69,136.6297568,62.23977284,0.0339,1.9,0.06
69,89.93119082,103.3464145,0.0339,2.4,0.17
69,146.6936308,547.851959,7.049110498,2.91,0.43
69,106.2369208,495.7788737,4.337914153,1.69,0.05
69,45.07199629,286.7668034,1.084478538,1.77,0.03
69,56.17038574,631.3148292,1.626717807,2.32,0.23
69,33.00361763,192.5363724,0.0339,1.94,0.41
69,3.701394443,360.2712504,0.0339,1.87,0.13
69,22.43539115,300.0524883,5.422392691,1.67,0.1
69,13.2796151,119.902697,2.168957076,8.83,4.04
69,9.15577605,164.3982345,5.96463196,2.55,0.16
69,40.6837345,321.4838501,7.320230133,2.42,0.02
69,25.03037058,98.42759455,8.404708671,2.12,1.3
69,10.22768975,135.8933352,9.218067575,4.17,32.85
69,7.134810462,19.08962892,2.914536071,5.52,1269.31
69,1.980011652,23.44404705,3.99901461,4.28,727.88
69,3.603684385,21.4005448,1.96561735,7.43,66.61
69,8.31088684,320.3242294,6.777990864,50.11,2245.08
69,10.9245654,81.91629514,7.523569859,16.23,90.71
