TANK,Cer_ug,Sca_ug,Dapp_ug,clad_ug,e_chl,i_chl
48,940.1427628,25.97876373,0.902831601,95.43411136,2.55,0.52
48,140.8107708,56.17617962,0.902831601,2.643416437,38.58,997.44
48,147.5682879,6.144804636,0.902831601,39.10900728,4.93,2735.07
48,88.9452624,8.402144276,0.902831601,12.09890836,8.16,3639.04
48,79.30793755,5.057088752,1.805663202,14.50490045,13.89,152.4
48,78.48424028,3.701394443,0.902831601,17.08053698,3.62,122.67
48,320.9501564,5.845221839,0.902831601,21.41845113,14.1,4559.24
48,519.7388073,1.412450431,0.902831601,15.7249388,16.24,2103.7
87,0.022447037,680.2728012,237.4294883,1.084478538,2.14,0.04
87,0.022447037,111.8867225,301.6286379,1.626717807,1.79,0.23
87,1.642534702,50.71021025,255.230388,1.355598173,1.85,0.05
87,0.022447037,0.028378061,0.902831601,0.033889954,1.64,0.19
87,1.642534702,158.91292,86.13700646,5.151273056,1.64,0.19
87,3.285069405,164.5885322,276.5717836,5.422392691,2.62,0.24
87,10.21436081,149.1766774,552.1022449,21.68957076,2.44,0.32
87,8.930978704,73.93886963,484.0077044,16.08138004,1.72,0.01
87,31.00223503,90.27041007,664.9005874,16.26717807,1.6,0.09
87,94.8551641,92.96889344,491.0220927,1.926277977,2.26,1.14
87,72.06074275,51.17584699,569.4915853,9.472163288,1.58,0.27
87,101.1930306,42.43672166,94.102751,8.789590446,2.03,0.02
87,199.7666009,21.69110894,177.1490922,12.27055034,2.11,16.11
87,431.0097011,21.23705996,128.9380961,11.24295287,1.47,0.28
87,14.72352928,1.412450431,1.991436134,1.986947752,2.94,0.09
87,217.3221017,33.57117885,0.902831601,8.247351177,1.64,0.43
87,34.81944632,31.38284184,23.71146068,1.038029031,4.25,178.22
87,25.16357542,10.08257313,0.902831601,5.004814401,130.69,9868.76
87,38.30385304,11.485674,13.24902733,2.318737161,2.97,433.93
87,17.07778217,9.887153015,3.106073726,5.572172776,2.4,4032.99
87,13.60117741,6.583051427,0.902831601,2.17606721,32.8,6647.09
87,3.419751628,0.113512244,2.177209066,9.917197062,15.77,2887.85
87,0.022447037,0.028378061,0.902831601,8.365069644,28.3,2659.75
90,0.022447037,365.8570594,166.0926824,0.033889954,2.7,0.31
90,0.022447037,4.868121258,441.803076,0.542239269,0.95,0.15
90,0.022447037,10.42310986,249.226505,0.033889954,1.28,0.54
90,0.022447037,0.028378061,0.902831601,0.033889954,0.95,0.28
90,0.022447037,165.4966301,170.4612667,0.033889954,0.95,0.28
90,0.022447037,102.1246695,395.4331583,0.271119635,1.01,0.16
90,0.022447037,143.262453,396.3845145,0.033889954,1.27,0.25
90,0.022447037,82.93082993,273.3911523,1.355598173,0.89,0.06
90,0.022447037,100.4607016,157.8287073,0.033889954,0.93,0.06
90,0.022447037,82.62189757,69.56655789,0.338899543,1.48,0.16
90,1.642534702,31.36414271,134.1397382,1.084478538,1.32,0.34
90,5.466333001,98.58129691,176.7325633,0.033889954,2.05,0.17
90,0.022447037,69.28618509,303.9478792,0.542239269,4.54,0.57
90,1.642534702,39.22098057,488.7928176,1.768920483,3.25,1.4
90,0.022447037,62.96110379,152.7311974,0.135559817,3.75,1.14
90,5.080832386,73.11979091,533.8231823,0.033889954,2.97,1.57
90,0.022447037,116.6787298,549.4872578,0.033889954,2.52,0.67
90,0.022447037,143.9119221,332.7485243,0.033889954,2.44,0.6
90,0.022447037,215.9281949,934.99281,0.033889954,3.35,4.65
90,0.044894075,109.6538759,549.5759815,0.033889954,2.46,0.12
90,0.022447037,77.51740226,54.32609442,0.067779909,1.81,0.1
90,0.410633676,0.028378061,0.902831601,0.067779909,1.85,0.43
90,1.687428777,0.028378061,0.902831601,0.033889954,2.15,5.88
93,0.022447037,1212.989146,426.9412415,0.033889954,1.69,0.17
93,0.022447037,22.64951039,259.4665078,0.033889954,1.22,0.005
93,0.022447037,37.70081178,174.874834,0.033889954,1.02,0.5
93,0.022447037,0.028378061,0.902831601,0.033889954,1.03,0.19
93,0.022447037,65.94982039,93.83533737,0.033889954,1.03,0.19
93,3.644222001,140.3369451,1399.888394,1.626717807,1.58,0.14
93,0.179576298,130.9915428,350.2844952,7.320230133,1.88,0.16
93,3.285069405,137.5494425,313.8446683,11.38702465,1.6,0.11
93,217.4274938,44.7443648,243.8474154,3.795674884,1.68,0.23
93,37.21322124,43.83626685,1034.5338,69.94886571,2.09,0.3
93,39.72728941,28.88109606,473.4861219,0.033889954,1.68,0.63
93,67.81678164,24.77463866,208.7588228,13.55598173,1.72,0.62
93,505.7952962,22.59920689,963.1403295,9.760306844,1.57,0.005
93,437.4217518,28.24900861,492.6265745,4.880153422,1.59,0.25
93,940.5448918,32.08261443,173.3436674,10.84478538,1.88,0.05
93,833.4591001,21.69110894,0.902831601,16.26717807,1.81,0.95
93,364.8174204,32.14582317,7.965744538,7.591349767,1.55,0.38
93,418.3242485,9.15577605,0.902831601,14.64046027,1.68,50.34
93,175.593125,7.402788886,0.902831601,2.711196345,13.09,9986.36
93,155.9305448,8.083862352,0.902831601,8.675828306,3.44,8305.96
93,67.46837313,6.866832037,8.337290401,2.440076711,10.94,1719.77
93,633.6924992,14.80557777,18.90385599,4.880153422,20.22,3160.48
93,313.4557881,3.05192535,0.902831601,10.30254611,2.42,5.45
96,0.410633676,2.597876373,507.2626227,0.0339,3.42,0.86
96,0.866161426,0.0284,780.0465035,314.1853972,2.05,0.2
96,0.45552775,0.0284,281.1711239,0.0339,1.6,0.9
96,0.02244,0.324734547,429.4366879,0.0339,1.58,0.005
96,0.821267351,0.0284,94.84584272,0.0339,1.58,0.005
96,0.044894075,0.0284,149.4168592,0.088152815,2.76,0.04
96,0.02244,0.056756122,0.903,0.0339,3.31,0.13
96,0.02244,0.0284,0.903,0.0339,2.08,0.03
96,0.02244,0.0284,12.82541535,2.271600288,1.69,0.02
96,0.02244,1.298938186,159.849718,33.49806977,2.23,0.52
96,0.02244,1.298938186,155.3911676,42.6926073,2,0.47
96,0.02244,0.0284,273.8076812,131.0084057,2.12,0.13
96,3.285069405,0.227024489,254.1607335,106.5152455,2.21,0.005
96,6.570138809,0.0284,336.7005796,122.219769,2.03,0.42
96,0.02244,0.0284,413.3856581,127.1563266,3.01,0.005
96,1.642534702,0.681073466,202.8590721,100.5459415,5.9,0.7
96,0.410633676,0.706225215,129.1830182,23.76561812,2.09,0.11
96,0.044894075,0.0284,227.1645092,23.9811122,1.8,0.49
96,0.02244,0.0284,93.49336608,8.798455084,2.56,139.26
96,0.02244,0.324734547,97.58037059,18.40910105,1.79,0.11
96,0.45552775,0.324734547,3.982872269,2.189329983,1.56,2.25
96,0.02244,0.0284,15.93148908,4.47347397,4.73,530.28
96,0.02244,0.0284,4.911736929,3.795674884,1.95,0.02
